NroCheque,CodigoBanco,CodigoScurusal,NumeroCuentaOrigen,NumeroCuentaDestino,Valor,FechaOrigen,FechaPago,DNI,Estado,Tipo
HZJZGBJL9Q8,22,16,ZCAB90216670521693,ZQAH91715693808810,309.03,1653014226.625797,1657420626.625805,566-02-2645,aprobado,depositado
AFHXGB0KP9I,22,16,ZCAB90216670521693,SLBL25477603752078,539.58,1652582226.625912,1657939026.62592,566-02-2645,pendiente,depositado
SVFXGBP7TB3,22,16,ZCAB90216670521693,VFMW49730799297595,55.43,1652409426.62603,1658457426.626039,566-02-2645,aprobado,depositado
QNMHGBXYSPN,23,169,NIXR32147568056682,YWWR92049789637361,925.65,1652323026.626883,1658198226.62689,441-73-2361,rechazado,emitido
IHRSGBX3PVJ,23,169,NIXR32147568056682,DRMD87203331966183,277.23,1650854226.626986,1658198226.626995,441-73-2361,aprobado,emitido
KHEYGBQ9L8H,23,169,NIXR32147568056682,QGGP13182938989696,344.79,1652236626.627902,1658198226.627914,441-73-2361,pendiente,emitido
OPGWGBLWPF8,23,169,NIXR32147568056682,UIVZ79055303738302,935.41,1650422226.628052,1658543826.628061,441-73-2361,aprobado,depositado
PGJMGBR6MW0,23,169,NIXR32147568056682,HOPC94465419175991,543.83,1652150226.628165,1657334226.628173,441-73-2361,aprobado,depositado
KXABGBMMK93,23,169,NIXR32147568056682,HENH07428521855153,810.05,1651372626.628306,1657852626.628314,441-73-2361,rechazado,depositado
CIQJGB50UYD,23,169,NIXR32147568056682,GJQW66602714283975,509.52,1651545426.62843,1657939026.628439,441-73-2361,rechazado,emitido
DBKFGBR92T9,23,169,NIXR32147568056682,ESES64312278620479,350.61,1650508626.628545,1657766226.628553,441-73-2361,rechazado,emitido
NPLHGBFFF6B,23,169,NIXR32147568056682,CVLU11738009174948,579.2,1650767826.628662,1658543826.62867,441-73-2361,pendiente,depositado
VSQKGBGPBCG,23,169,NIXR32147568056682,ZMFH19827303292299,761.23,1652927826.628781,1657507026.62879,441-73-2361,rechazado,depositado
XJCSGBZI7MR,23,169,NIXR32147568056682,FCDI14979496012705,963.46,1652323026.628901,1657334226.628909,441-73-2361,aprobado,depositado
JFFSGBOIIOQ,23,169,NIXR32147568056682,KIUN60433192383750,804.09,1650767826.629017,1657679826.629025,441-73-2361,pendiente,emitido
PZJEGBRNFI0,23,169,NIXR32147568056682,YINS88259863417434,634.47,1652323026.629133,1658284626.629141,441-73-2361,aprobado,depositado
FGSAGBW84IR,23,169,NIXR32147568056682,YJCL27067048967998,252.01,1653187026.629261,1658198226.62927,441-73-2361,rechazado,emitido
CXWTGBROAJN,23,169,NIXR32147568056682,GFAI16437748629742,500.98,1652323026.62938,1658543826.629388,441-73-2361,aprobado,depositado
XSVAGB0IJ58,23,169,NIXR32147568056682,WAGK41064593562135,243.94,1651199826.629495,1657247826.629503,441-73-2361,rechazado,depositado
BQKHGBL3U2O,23,169,NIXR32147568056682,YXPO25666591187210,200.85,1653705426.629612,1658543826.629621,441-73-2361,rechazado,depositado
UUXIGBMGW5R,23,169,NIXR32147568056682,ZQWM73616049244818,918.11,1650681426.631051,1658889426.631064,441-73-2361,aprobado,depositado
LRSJGBNS9ZE,23,169,NIXR32147568056682,VVKA20155733597482,519.85,1652755026.632929,1657852626.632942,441-73-2361,pendiente,depositado
FMDSGBG7I3J,23,169,NIXR32147568056682,OMAD01534818411894,951.82,1652323026.633077,1658111826.633085,441-73-2361,pendiente,emitido
DVFOGBKK3QK,18,142,MOJR02721174446094,KYOC04374836160015,820.76,1651286226.633948,1658803026.633954,759-08-4028,aprobado,depositado
OWSAGB9YBHG,18,142,MOJR02721174446094,AJJB00902927192082,794.38,1652150226.634047,1658284626.634055,759-08-4028,pendiente,depositado
JCUYGBYNQYO,18,142,MOJR02721174446094,ZDCW19131761177828,72.88,1653705426.634149,1658371026.634157,759-08-4028,rechazado,emitido
OUTQGB9XL1A,18,142,MOJR02721174446094,DELX68218083165858,64.95,1650508626.634268,1657507026.634277,759-08-4028,aprobado,emitido
SNTHGBSW6U4,18,142,MOJR02721174446094,WSRM43912965458500,47.69,1651718226.634378,1658975826.634386,759-08-4028,rechazado,depositado
UYXOGBQWRKL,18,142,MOJR02721174446094,AEIX32217724420255,457.38,1652323026.63449,1657247826.634498,759-08-4028,rechazado,depositado
HOKUGBBX4SP,18,142,MOJR02721174446094,GUDQ72453193561468,44.23,1653532626.634609,1658630226.634618,759-08-4028,pendiente,depositado
ADOXGB7LMYV,18,142,MOJR02721174446094,LBUK36068424041560,354.08,1652409426.634728,1658457426.634735,759-08-4028,aprobado,depositado
REBPGB032XA,18,142,MOJR02721174446094,YVIH24581273999164,279.43,1653187026.634848,1658111826.634855,759-08-4028,aprobado,emitido
GSGCGB5IF79,18,142,MOJR02721174446094,WVBI00925263983083,653.83,1652323026.634965,1658371026.634972,759-08-4028,aprobado,emitido
MTIGGBF1B84,18,142,MOJR02721174446094,ORVO99555106527369,370.24,1650508626.635084,1658803026.635093,759-08-4028,pendiente,emitido
WXKXGBAMS02,18,142,MOJR02721174446094,AVGT76622667341290,455.8,1653446226.635214,1657939026.635222,759-08-4028,aprobado,emitido
WQWJGBECFWY,18,142,MOJR02721174446094,JXFD24264865867714,767.11,1651545426.635335,1658457426.635344,759-08-4028,rechazado,depositado
UNMZGBOS5Z9,18,142,MOJR02721174446094,TKII46980788364600,973.84,1653273426.635452,1658025426.63546,759-08-4028,aprobado,depositado
AUNUGBS5JZ1,18,142,MOJR02721174446094,NRCZ40076858787879,496.58,1651631826.635569,1657593426.635577,759-08-4028,aprobado,depositado
MWYSGBT49XT,18,142,MOJR02721174446094,FZSY09534613129727,142.61,1652409426.635686,1657507026.635694,759-08-4028,rechazado,emitido
NSUYGBKWC12,18,142,MOJR02721174446094,KOWE74758305846891,724.54,1651977426.635804,1658198226.635812,759-08-4028,pendiente,emitido
OJCVGBOVOYB,18,142,JEQE21530077198027,SESI14527505119144,834.43,1653014226.635921,1658543826.635929,759-08-4028,rechazado,emitido
TKEFGB5EGLC,18,142,JEQE21530077198027,SLFY07663164767626,420.58,1653273426.636087,1657507026.636095,759-08-4028,rechazado,emitido
HUFAGB711LS,18,142,JEQE21530077198027,ZGYN34127554753272,607.82,1652582226.63622,1658716626.636229,759-08-4028,rechazado,depositado
PEDRGB2ULFU,33,46,EYGC92544758675484,OZRK65640374662273,233.09,1650595026.637076,1658889426.637082,722-44-3590,pendiente,depositado
FILVGBHHYUU,33,46,EYGC92544758675484,FTGC48829271736210,202.08,1653619026.637178,1658025426.637186,722-44-3590,rechazado,depositado
JKYAGBMTLK9,33,46,EYGC92544758675484,QBWX11922935511672,18.59,1651027026.637295,1657939026.637303,722-44-3590,rechazado,emitido
FPHCGB7QGDY,33,46,EYGC92544758675484,KSQG93997941261322,470.4,1653273426.637398,1658284626.637406,722-44-3590,aprobado,depositado
XCMOGB5JJDH,33,46,EYGC92544758675484,WIIZ52758116003563,697.78,1651286226.637502,1657766226.63751,722-44-3590,pendiente,emitido
EUDMGBGSFGN,33,46,EYGC92544758675484,ZKNS15179743605521,807.46,1651631826.637613,1657507026.637621,722-44-3590,rechazado,emitido
XJMFGB72RVL,33,46,EYGC92544758675484,RIOA92289571647406,33.82,1651372626.63773,1657334226.637738,722-44-3590,rechazado,emitido
UZMIGBLKFN7,33,46,AZOZ12454927709526,ZAJF92168782652859,383.16,1651113426.637849,1657679826.637856,722-44-3590,pendiente,depositado
YLVXGB3FV71,33,46,AZOZ12454927709526,FCCH13730654594780,462.77,1653014226.638008,1658889426.638016,722-44-3590,rechazado,emitido
ZZJOGBDIWL5,33,46,AZOZ12454927709526,JONH70896539542243,273.17,1652323026.638177,1657766226.638202,722-44-3590,rechazado,depositado
HHCEGB21GXO,33,46,AZOZ12454927709526,ZDLX62449260126611,79.07,1650422226.638318,1657939026.638327,722-44-3590,rechazado,depositado
DKEGGBP9U5V,33,46,AZOZ12454927709526,VSHR13578912299907,576.19,1650767826.638438,1658111826.638462,722-44-3590,rechazado,emitido
SUPQGBRSBLR,33,46,AZOZ12454927709526,YIGR07100932738499,157.65,1653791826.638572,1657507026.638579,722-44-3590,rechazado,emitido
GQRWGBHT2LH,33,46,AZOZ12454927709526,CELR09548394096515,681.84,1651113426.638686,1657939026.638695,722-44-3590,pendiente,emitido
BOQQGB98Y0U,33,46,AZOZ12454927709526,IYLD49250096063697,265.93,1651718226.638811,1658284626.638819,722-44-3590,aprobado,depositado
TZKHGBV5J7B,33,46,AZOZ12454927709526,JAFW97810012669238,81.23,1650508626.638927,1658889426.638935,722-44-3590,pendiente,depositado
XPZEGBAF9BI,33,46,DABM64260568385930,NPQU03572933031455,694.92,1650508626.639043,1657247826.639051,722-44-3590,aprobado,emitido
YDBKGBTMEDO,33,46,DABM64260568385930,XJZE29640619726366,72.51,1652927826.639217,1658198226.639225,722-44-3590,aprobado,depositado
XFZLGBY7X0N,33,46,DABM64260568385930,ERUO95098338673918,926.65,1653705426.639342,1657247826.639351,722-44-3590,rechazado,emitido
MXBTGBOA2A0,33,46,DABM64260568385930,DEFJ05129892864052,907.12,1652841426.63946,1658889426.639468,722-44-3590,rechazado,depositado
WOVTGBR0DPR,54,188,XKUH55563069846908,DKAN21208435391365,74.98,1650335826.640323,1657852626.640329,046-66-3542,rechazado,emitido
GKVDGBR5XSD,54,188,XKUH55563069846908,UUWU40174632702029,606.32,1650595026.640423,1657247826.640431,046-66-3542,rechazado,emitido
IWDLGBSMVOP,54,188,XKUH55563069846908,VBCL03374495857980,873.46,1650767826.640522,1657334226.64053,046-66-3542,aprobado,emitido
GGVMGBH8QKW,54,188,XKUH55563069846908,HEXG31210981996776,882.45,1653359826.64063,1657247826.640638,046-66-3542,pendiente,emitido
MARVGBC81HQ,54,188,AXTY85832948469807,SSHM48415948477194,25.58,1652495826.640734,1657939026.640741,046-66-3542,aprobado,depositado
ZWGQGBTFG61,54,188,AXTY85832948469807,KWCW65015918390004,538.43,1651631826.640892,1658025426.640901,046-66-3542,pendiente,emitido
VRLFGBJHSSL,54,188,AXTY85832948469807,XODQ07348443697745,89.28,1651891026.64101,1658803026.641018,046-66-3542,pendiente,depositado
PJHRGBPE4MW,54,188,AXTY85832948469807,AYSY99415126745493,703.63,1652236626.641126,1658975826.641134,046-66-3542,rechazado,emitido
NIKDGBI3W6I,54,188,AXTY85832948469807,WFRO74711280455506,754.5,1652755026.641354,1657939026.641365,046-66-3542,rechazado,emitido
CYOMGB4UT4J,54,188,AXTY85832948469807,VKFJ70884549515079,44.35,1652495826.641463,1657679826.641471,046-66-3542,rechazado,depositado
JBNWGBE3LEH,54,188,AXTY85832948469807,FLTJ47072353106769,358.71,1650681426.641566,1657939026.641574,046-66-3542,rechazado,depositado
MHJUGBG1S8B,54,188,AXTY85832948469807,BKAV07432716804120,222.83,1652323026.641669,1658457426.641677,046-66-3542,rechazado,depositado
SBMXGB07XOP,54,188,AXTY85832948469807,AINQ94157954530837,708.48,1651286226.641782,1658543826.641791,046-66-3542,pendiente,depositado
FUUDGBH8JSW,54,188,AXTY85832948469807,QWAV65083183085239,67.93,1651459026.641895,1657939026.641903,046-66-3542,pendiente,emitido
PQHNGBJLVLB,54,188,AXTY85832948469807,PRPN27420545436001,713.96,1652755026.642016,1658889426.642025,046-66-3542,rechazado,emitido
KEDQGBUPG9G,54,188,AXTY85832948469807,ETKS20082921228266,681.1,1653705426.642133,1657247826.642141,046-66-3542,aprobado,depositado
XVPQGB5SVFN,54,188,AXTY85832948469807,ALJL90390555195516,455.6,1651804626.642262,1657593426.642271,046-66-3542,rechazado,depositado
BUMIGB6VOVQ,54,188,AXTY85832948469807,GLSI23829281599891,748.26,1653791826.64238,1658111826.642388,046-66-3542,rechazado,depositado
XZXWGBE2ICG,54,188,AXTY85832948469807,TFLI74726651524257,799.35,1653532626.642497,1657766226.642505,046-66-3542,pendiente,depositado
OWIYGBVQ2BV,54,188,AXTY85832948469807,YCLZ54526332979693,195.04,1650595026.642611,1658889426.642619,046-66-3542,rechazado,emitido
EAONGBGDYSM,80,7,MEBC05369163511243,VXFG66330846381955,682.03,1653446226.643468,1658198226.643474,784-01-5990,pendiente,depositado
NAWTGBOZ551,80,7,MEBC05369163511243,IQHP93909146101551,198.01,1651718226.64357,1658284626.64358,784-01-5990,rechazado,emitido
MMBJGBLKUH6,80,7,MEBC05369163511243,TJDH49116725323209,474.07,1652668626.643678,1658543826.643686,784-01-5990,pendiente,depositado
TOFSGBYOIQB,80,7,MEBC05369163511243,BOPR83633915241773,366.46,1650767826.643779,1658111826.643788,784-01-5990,pendiente,emitido
OZYKGB4W6OT,80,7,MEBC05369163511243,UPIZ73729396564622,905.36,1653446226.643883,1658111826.643891,784-01-5990,rechazado,emitido
SAPWGBIRNXA,80,7,MEBC05369163511243,XTRP13959404736349,516.0,1653014226.643994,1657852626.644002,784-01-5990,pendiente,depositado
JTNXGBOAOYI,80,7,MEBC05369163511243,KALB60980006947508,889.91,1651372626.644109,1658889426.644117,784-01-5990,rechazado,emitido
IXUSGB9MIY4,80,7,MEBC05369163511243,MDNI05005190819803,987.27,1650767826.644246,1658457426.644254,784-01-5990,pendiente,emitido
LVPTGBIBZ1W,80,7,MEBC05369163511243,SSNI11212833794630,908.63,1650854226.644363,1658198226.644372,784-01-5990,aprobado,depositado
JZEJGB5QZP3,80,7,MEBC05369163511243,QQPC32671331267649,892.57,1653273426.644484,1658284626.644492,784-01-5990,aprobado,emitido
ZGWFGB53C0M,80,7,MEBC05369163511243,ZGRB86279204697796,654.58,1653014226.6446,1658111826.644608,784-01-5990,rechazado,emitido
